timestamp_ms,frametime_ms,fps
1757230063592,8.795,113.70
1757230063601,8.081,123.74
1757230063609,8.484,117.87
1757230063618,9.219,108.47
1757230063626,7.183,139.21
1757230063634,8.552,116.93
1757230063642,8.347,119.80
1757230063651,8.130,123.01
1757230063659,8.463,118.16
1757230063668,8.983,111.33
1757230063676,7.746,129.09
1757230063684,8.204,121.90
1757230063693,8.787,113.80
1757230063701,7.800,128.21
1757230063709,8.488,117.81
1757230063718,9.195,108.76
1757230063726,7.439,134.42
1757230063734,8.875,112.68
1757230063743,8.191,122.08
1757230063752,8.439,118.50
1757230063761,9.678,103.33
1757230063769,9.106,109.81
1757230063778,7.841,127.53
1757230063786,8.388,119.22
1757230063794,8.068,123.94
1757230063803,8.458,118.23
1757230063811,8.235,121.43
1757230063820,9.081,110.12
1757230063828,7.661,130.53
1757230063836,8.752,114.26
1757230063844,8.146,122.75
1757230063853,8.268,120.95
1757230063861,8.322,120.16
1757230063871,9.079,110.14
1757230063879,8.215,121.73
1757230063888,9.176,108.98
1757230063896,7.961,125.61
1757230063904,8.109,123.32
1757230063912,8.424,118.72
1757230063921,9.426,106.09
1757230063929,7.407,135.00
1757230063937,8.173,122.35
1757230063946,8.547,117.01
1757230063954,8.549,116.97
1757230063963,8.436,118.55
1757230063972,8.986,111.29
1757230063979,7.699,129.89
1757230063988,8.349,119.78
1757230063996,8.368,119.51
1757230064004,8.362,119.59
1757230064013,8.439,118.50
1757230064022,9.167,109.09
1757230064029,7.901,126.57
